,No,Coach Number,Date,Cordinates,GPS Speed,EvNo,Line Voltage,MA Voltage 110,Speedo,Brake Valve Pressure,Boogie 1 Current,Boogie 2 Current,SE1,SE2,SE3,SE4
,0,10M51577,4/21/2015 23:41,"026°11'51.408""S 028°01'57.510""E",0,34518,3096,146,1,0,0,1,0,0,0,0
,1,10M51577,4/21/2015 23:41,"026°11'51.408""S 028°01'57.510""E",0,34618,3089,146,1,0,0,0,0,0,0,0
,2,10M51577,4/21/2015 20:30,"026°11'51.408""S 028°01'57.510""E",0,34718,3071,136,1,0,0,0,0,0,0,0
,3,10M51577,4/21/2015 23:41,"026°11'51.408""S 028°01'57.510""E",0,34818,3028,135,1,0,0,1,0,0,0,0
,4,10M51577,4/21/2015 23:42,"026°11'51.408""S 028°01'57.510""E",0,34918,3088,145,1,0,0,0,0,0,0,0
,5,10M51577,4/21/2015 23:42,"026°11'44.238""S 028°01'36.006""E",0,35018,3090,146,1,0,0,1,0,0,0,0
,6,10M51577,4/21/2015 23:42,"026°11'44.256""S 028°01'35.964""E",0,35118,3093,146,1,0,0,0,0,0,0,0
,7,10M51577,4/21/2015 23:42,"026°11'44.256""S 028°01'35.964""E",0,35218,3099,146,1,0,0,0,0,0,0,0
,8,10M51577,4/21/2015 23:42,"026°11'44.256""S 028°01'35.964""E",0,35318,3099,146,1,0,0,1,0,0,0,0
,9,10M51577,4/21/2015 23:42,"026°11'44.256""S 028°01'35.964""E",0,35418,3095,146,1,0,0,1,0,0,0,0
,10,10M51577,4/21/2015 23:42,"026°11'44.256""S 028°01'35.964""E",0,35518,3089,146,1,0,0,0,0,0,0,0
,11,10M51577,4/21/2015 23:43,"026°11'51.408""S 028°01'57.510""E",0,35618,3097,146,1,0,0,0,0,0,0,0
,12,10M51577,4/21/2015 23:43,"026°11'51.408""S 028°01'57.510""E",0,35718,3093,146,1,0,0,0,0,0,0,0
,13,10M51577,4/21/2015 23:43,"026°11'51.408""S 028°01'57.510""E",0,35818,3096,146,1,0,0,1,0,0,0,0
,14,10M51577,4/21/2015 23:43,"026°11'51.408""S 028°01'57.510""E",0,35918,3091,145,1,0,0,1,0,0,0,0
,15,10M51577,4/21/2015 23:43,"026°11'51.408""S 028°01'57.510""E",0,36018,3087,145,1,0,0,0,0,0,0,0
,16,10M51577,4/21/2015 23:43,"026°11'51.408""S 028°01'57.510""E",0,36118,3090,138,1,0,0,0,0,0,0,0
,17,10M51577,4/21/2015 23:43,"026°11'51.408""S 028°01'57.510""E",0,36218,3094,138,1,0,0,0,0,0,0,0
,18,10M51577,4/21/2015 23:43,"026°11'51.408""S 028°01'57.510""E",0,36318,2999,129,1,0,0,1,0,0,0,0
,19,10M51577,4/21/2015 23:44,"026°11'51.408""S 028°01'57.510""E",0,36418,3089,137,1,0,0,1,0,0,0,0
,20,10M51577,4/21/2015 23:44,"026°11'51.408""S 028°01'57.510""E",0,36518,3093,137,1,0,0,1,0,0,0,0
,21,10M51577,4/21/2015 23:44,"026°11'51.408""S 028°01'57.510""E",0,36618,3090,137,1,0,0,0,0,0,0,0
,22,10M51577,4/21/2015 23:45,"026°11'51.408""S 028°01'57.510""E",0,36718,3090,137,1,0,0,1,0,0,0,0
,23,10M51577,4/21/2015 23:45,"026°11'51.408""S 028°01'57.510""E",0,36818,3091,146,1,0,0,1,0,0,0,0
,24,10M51577,4/21/2015 23:45,"026°11'51.408""S 028°01'57.510""E",0,36918,3100,146,1,0,0,0,0,0,0,0
,25,10M51577,4/21/2015 23:45,"026°11'51.396""S 028°01'56.850""E",0,37018,3018,140,1,0,0,0,0,0,0,0
,26,10M51577,4/21/2015 23:45,"026°11'51.456""S 028°01'56.622""E",0,37118,3095,146,1,0,0,0,0,0,0,0
